date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:38	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/robots.txt		(from )
19:59:38	54229/54229	---M-Z	200	added ('OK')	text/html	etag:W/%22639aefe6-d3d5%22	https://themewagon.github.io/restoran/	C:/My%20Web%20Sites/sell3/themewagon.github.io/restoran/index.html	(from )
19:59:38	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://themewagon.github.io/restoran/img/favicon.ico	C:/My%20Web%20Sites/sell3/themewagon.github.io/restoran/img/favicon.ico	(from https://themewagon.github.io/restoran/)
19:59:39	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/sell3/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/restoran/)
19:59:40	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/sell3/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/restoran/)
19:59:40	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-4239%22	https://themewagon.github.io/restoran/lib/animate/animate.min.css	C:/My%20Web%20Sites/sell3/themewagon.github.io/restoran/lib/animate/animate.min.css	(from https://themewagon.github.io/restoran/)
19:59:40	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-b78%22	https://themewagon.github.io/restoran/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/sell3/themewagon.github.io/restoran/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/restoran/)
19:59:40	9058/9058	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-2362%22	https://themewagon.github.io/restoran/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/My%20Web%20Sites/sell3/themewagon.github.io/restoran/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://themewagon.github.io/restoran/)
19:59:40	164354/164354	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-28202%22	https://themewagon.github.io/restoran/css/bootstrap.min.css	C:/My%20Web%20Sites/sell3/themewagon.github.io/restoran/css/bootstrap.min.css	(from https://themewagon.github.io/restoran/)
19:59:41	8741/8741	---M-Z	200	added ('OK')	text/css	etag:W/%22639aefe6-2225%22	https://themewagon.github.io/restoran/css/style.css	C:/My%20Web%20Sites/sell3/themewagon.github.io/restoran/css/style.css	(from https://themewagon.github.io/restoran/)
